mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1620487689971924,0.0013409141566504339,0.9638046264648438,0.014017625649783054,manhattan,7,0.37811282846462646,0.31036390817264037,0.3417863146421254,0.29219574365082857,0.3535384611107534,0.3351994512081949,0.030618252932545234,1
0.16018390655517578,0.0027795329713749505,1.0760863304138184,0.028008781422618777,manhattan,11,0.35896950971371144,0.30973772871479266,0.34215514910995626,0.306022574996624,0.331836069651689,0.3297442064373547,0.01987712600150409,2
0.16144208908081054,0.003137124240291659,1.0111581802368164,0.016904657930578697,manhattan,9,0.3104833979137741,0.31334445103552067,0.37915581317405467,0.31052118390101924,0.3328711337764251,0.32927519596015875,0.026304524395632026,3
0.1649169921875,0.006238962941728172,1.1076147556304932,0.019307061740723774,manhattan,13,0.3580742453496215,0.3049959941923369,0.30936800725220237,0.2985359935977302,0.3274554947715923,0.31968594703269665,0.021464400507833166,4
0.16037449836730958,0.002753163057937865,1.1583414554595948,0.016957848753829007,manhattan,15,0.3552815239028875,0.2940890973604877,0.32406368309887956,0.27927728354109826,0.3211760145590722,0.3147775204924851,0.026290779790016164,5
0.1648012161254883,0.007217607484679516,1.1953918933868408,0.017927967850756277,manhattan,17,0.3582086086695391,0.28617804719157547,0.31982115603840244,0.27920755779580186,0.32100023872557404,0.31288312168417864,0.02833947172083421,6
0.17042012214660646,0.010182345166197586,1.003622007369995,0.09180720720104436,euclidean,5,0.33519399520611715,0.2656180108243257,0.35178888476012393,0.229189890092098,0.37862772167976366,0.3120837005124857,0.05580168143395696,7
0.17543578147888184,0.012795838753224027,1.0013904094696044,0.020792424522286027,euclidean,7,0.2790520252858054,0.2869523966927663,0.3357638593756793,0.2660026831165955,0.32318734008714267,0.2981916609115978,0.026702925227124676,8
0.16051135063171387,0.0017768856600252952,1.2347233295440674,0.019166680422151167,manhattan,19,0.345516903305257,0.24410849262711087,0.32998391547186645,0.24694707353489287,0.31967995430120544,0.29724726784806654,0.04303187238837283,9
0.16690416336059571,0.0035709723187075325,0.9282910823822021,0.03276479322766459,manhattan,5,0.3588527364933296,0.31850705971674564,0.07701108660272171,0.3115514551394418,0.4025833329051486,0.2937011341714775,0.11312701631559968,10
0.006303548812866211,0.0004029978459186996,13.371716356277465,0.13567432010575778,cosine,1,0.37100377881242286,0.28948821308826433,0.19599987150381526,0.24123177500700843,0.36363865386627925,0.29227245845555805,0.06807799797302759,11
0.175169038772583,0.011194561137306451,1.0661224365234374,0.028800993760911824,euclidean,9,0.3013426367039328,0.2710532712238001,0.32313117983201667,0.25204787477531765,0.2946646840688455,0.28844792932078256,0.024638942693806454,12
0.15795578956604003,0.0013682729263955827,1.3146246433258058,0.025764755745774706,manhattan,23,0.33644576002947313,0.2527439544149158,0.30143038804277666,0.2617496246479263,0.2814027072247004,0.2867544868719585,0.029984014745986064,13
0.16094846725463868,0.0013404025966369452,1.2603175163269043,0.012438265517641949,manhattan,21,0.3334809593611582,0.23724904756162923,0.3031055115487611,0.26499081461677976,0.2876544414352673,0.28529615490471916,0.03275772106904731,14
0.17663950920104982,0.015584989065375539,1.0727449893951415,0.0175805389896078,euclidean,11,0.28824209509236476,0.25817960782783433,0.31487366514345405,0.24936026593808702,0.2789471310860614,0.2779205530175603,0.023145260872011162,15
0.163228178024292,0.002599884720955824,1.1152227878570558,0.021986202643653575,euclidean,13,0.29861993410180077,0.2546985630691265,0.3033285121912014,0.2565058838697739,0.25884813392128214,0.2744002054306369,0.021788394034598455,16
0.16241211891174318,0.0008566635665759547,1.4592841148376465,0.01943537458707298,manhattan,33,0.30572688174542306,0.2691971110836212,0.29107173150137355,0.23850456468775594,0.25498703134602674,0.2718974640728401,0.024167839796323563,17
0.1603093147277832,0.002115657432139892,1.3293234348297118,0.01822466175040275,manhattan,25,0.3327088238148941,0.25587787436594067,0.27191533878632934,0.24135396306472412,0.25145068155981065,0.2706613363183398,0.03255145267849336,18
0.16377720832824708,0.006502294679753634,1.3768214225769042,0.01617331679464349,manhattan,27,0.3209620169071099,0.2517367271848927,0.27994556378167135,0.23895744182515122,0.2594731582543882,0.2702149815906426,0.02864895205709743,19
0.16280155181884765,0.002001819451896832,1.4404881954193116,0.022975055554297262,manhattan,31,0.3062180858479304,0.25130812187483786,0.29351337133926225,0.23968223944491418,0.25674836826022185,0.2694940373534333,0.02571966967095659,20
0.16049437522888182,0.0034296945878104015,1.3938069343566895,0.01444323475885476,manhattan,29,0.3086908280779448,0.24223208486741254,0.2833941089424591,0.2385521710041837,0.2588589691332067,0.26634563240504133,0.02643390227438866,21
0.1641153335571289,0.004281674857172975,1.1374160766601562,0.020143304891544627,euclidean,15,0.28653868580496333,0.2348268490714891,0.2900475485002474,0.24658704929953235,0.26022445088644697,0.26364491671253576,0.0216996547358978,22
0.1621245861053467,0.001845318724793607,1.2151502609252929,0.020564752651941687,euclidean,19,0.2974218758462648,0.21548530278325906,0.2745110374742187,0.26004284503835406,0.25786721455824635,0.2610656551400686,0.02680073795170444,23
0.16370711326599122,0.003900776162679369,1.2651689529418946,0.01126535099893878,euclidean,21,0.3059859473524231,0.2050332403738101,0.26455265004467954,0.26071788558691844,0.2667582432050144,0.2606095933125691,0.03225247224952803,24
0.16409993171691895,0.005733976540587004,1.5147691726684571,0.03562921876936488,manhattan,35,0.2778983993018227,0.2516288846422312,0.2661651204770217,0.24601313921796863,0.2447210294540002,0.25728531461860893,0.012811468395765685,25
