mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20428061485290527,0.013370711228891493,0.40422763824462893,0.026434819638007593,manhattan,2,0.8958526453090642,0.8849343756278483,0.8818316423386695,0.8860040862766299,0.8858837962914412,0.8869013091687306,0.004723073350962713,1,0.9675053037281878,0.9687562443489609,0.9678321396706514,0.9682576473529844,0.9679678590244941,0.9680638388250558,0.00042233759712653816
0.20569906234741211,0.011717768129116287,0.46822218894958495,0.040294742233248665,manhattan,3,0.8943909096408229,0.8819643175082624,0.882639659278061,0.883905829375827,0.8851661252084887,0.8856133682022925,0.004523703451336478,2,0.9477883259043078,0.9497428613669873,0.9491158769089253,0.9500350949984782,0.9492071385934161,0.9491778595544229,0.0007732506100889894
0.22148485183715821,0.016502593413886688,0.49789986610412595,0.05724358843729904,manhattan,4,0.8913587317254106,0.8799345028362164,0.8814180627418106,0.882165959492298,0.8821749703810715,0.8834104454353614,0.004057145907431731,3,0.9341717802597177,0.9365610378848757,0.9355227443171998,0.9363824600034483,0.9357132238640533,0.9356702492658588,0.0008449570861105383
0.20368857383728028,0.009627190727819835,0.518364953994751,0.018957732895271553,manhattan,5,0.8865014530420561,0.8762366437371321,0.8781321853175352,0.8784678665617226,0.8790312858037601,0.8796738868924411,0.003540467906348953,4,0.9236909244065633,0.9255954000469819,0.9255112419300316,0.9254248172671088,0.9255757175191294,0.925159620233963,0.0007367598948252311
0.21031785011291504,0.015755683303060174,0.3828863620758057,0.023422376781212617,manhattan,1,0.8891047099266636,0.8782797856217986,0.870807777445983,0.8770980641026729,0.8740379429686824,0.8778656560131599,0.00618937913791547,5,0.9952592568315509,0.9953741968934866,0.9949359072216498,0.9954693223510759,0.9952487803647002,0.9952574927324926,0.0001799932813660019
0.19953951835632325,0.00461273239201516,0.5394838809967041,0.010354828874470217,manhattan,6,0.8828622430416274,0.873177007987005,0.8751197796069677,0.8768656939793446,0.8757926035529932,0.8767634656335875,0.0032775750759323615,6,0.9151114657915179,0.9173517855517508,0.916922323819517,0.9169024370399665,0.9168271213727069,0.9166230267150919,0.0007778443781779284
0.19169354438781738,0.006238654470851831,0.5617217540740966,0.04988623707975685,manhattan,7,0.8800063136804207,0.8709777344014604,0.8722844663110128,0.8750843034704268,0.872608685763711,0.8741923007254064,0.0031962328040646823,7,0.9079132117907472,0.9102865735412524,0.9099075802468208,0.9099828354164465,0.9097428739355597,0.9095666149861653,0.0008452983402871203
0.21315388679504393,0.00647499084153806,0.33922443389892576,0.02665170870543503,euclidean,2,0.8791186341046828,0.8717927195631077,0.8709657288262974,0.8664735015987248,0.8713802376406274,0.871946164346688,0.0040669259184346685,8,0.9637726768909489,0.9642153399709585,0.9640575497810447,0.9644341433366158,0.9637346245854468,0.964042866913003,0.000264981419169177
0.20598182678222657,0.009947481470320353,0.6225647926330566,0.04804345726210328,manhattan,8,0.8767515455260373,0.869183775243487,0.869924275189147,0.8728604523491491,0.8694431922207899,0.8716326481057219,0.0028781885778881855,9,0.902183622274006,0.9042135161080126,0.9041430700399767,0.9042168025963216,0.9039038977095093,0.9037321817455652,0.000782673895971251
0.19526171684265137,0.005895197041192219,0.6135857105255127,0.06259099485595333,manhattan,9,0.8741199537293176,0.8670474699653286,0.8680163274016952,0.8701990817549896,0.8667407813397382,0.8692247228382138,0.002730687669699806,10,0.8973695543702298,0.8989569832491748,0.8988547819865564,0.8990176756263621,0.8985835138948263,0.8985565018254299,0.0006118188642485281
0.20782456398010254,0.006606315674319562,0.40239739418029785,0.03256184474288976,euclidean,3,0.8745618436701078,0.866271704909745,0.8680630528735812,0.8650138318255152,0.8686113391724212,0.8685043544902742,0.003288399021577057,11,0.9414945561914089,0.9418801412092055,0.9425851188390859,0.9428648016498252,0.9422023107016467,0.9422053857182344,0.0004878726629961754
0.19597740173339845,0.005505444225421068,0.6665833950042724,0.05257004208389008,manhattan,10,0.8723105056667604,0.8646890752788019,0.865852925411013,0.8676465451285127,0.8645090825822066,0.8670016268134588,0.0028802881997917586,12,0.8928295274456677,0.8947508287040806,0.8942448212425311,0.894368476833671,0.8937931756051908,0.8939973659662283,0.0006591212332616792
0.21201272010803224,0.014677255127713635,0.4625577926635742,0.02986520162624239,euclidean,4,0.8716553239012933,0.8625951526373827,0.8645902833932545,0.8629883143841385,0.8659799972864899,0.8655618143205117,0.003276388005453178,13,0.9252156670681705,0.9266567151346785,0.9260891913871344,0.9273798975965661,0.9267777759573195,0.9264238494287739,0.0007300985063730613
0.20318455696105958,0.015475175004115412,0.699906587600708,0.08304137967647111,manhattan,11,0.8700823415406975,0.8627820338139712,0.8630129834723961,0.8656877656738864,0.8623413572534606,0.8647812963508823,0.002898277097340897,14,0.88882699954183,0.8908386006748577,0.8903310969485676,0.8904443959193463,0.8897795185106889,0.8900441223190579,0.000696444151551973
0.19466876983642578,0.0046014562245552445,0.7221809387207031,0.05934919080528755,manhattan,12,0.8677887185960762,0.8610423002105559,0.8610201708475126,0.8634806164562111,0.8608097518693126,0.8628283115959337,0.0026670182692490356,15,0.8852501625816764,0.8872869124427317,0.8868018834823795,0.8867997003420046,0.8864540526386453,0.8865185422974875,0.0006874111975715669
