mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17.669700860977173,0.1516357176880313,0.929260540008545,0.011890862669823438,sqrt,1,2,200,,sqrt,1,2,200,0.9474603675300786,0.9411546953789266,0.945535966563171,0.9372574009680071,0.9457538079589932,0.9434324476798353,0.003724432869464564,1,0.9900652835688071,0.9905048986338547,0.9900609900819979,0.9905034006745818,0.9901865344682975,0.9902642214855077,0.00020102076755367543
17.8034948348999,0.16924624152496434,0.9213098526000977,0.0033709955215420373,log2,1,2,200,,log2,1,2,200,0.9471618475201661,0.9410656525940786,0.9450847655963737,0.9370435012027943,0.9462443152459695,0.9433200164318765,0.0037656959253959633,2,0.9900578631820955,0.9904686593219526,0.9901317380852259,0.9904765681155676,0.9901887537352213,0.9902647164880125,0.00017476594473828775
8.88157877922058,0.07049867239235136,0.47942938804626467,0.012779663282156404,log2,1,2,100,,log2,1,2,100,0.9474960609440478,0.9409055254760122,0.9452540748323305,0.9371563942359237,0.945542554155901,0.943270921928843,0.003739720775618604,3,0.989936693683191,0.990336922072864,0.9898958009431551,0.9902172724611399,0.9899697584459851,0.9900712895212671,0.00017383469798911642
8.873368310928345,0.13766948048505429,0.4633344173431396,0.006405980891202675,sqrt,1,2,100,,sqrt,1,2,100,0.9473179515863077,0.9412211420714368,0.9452099703013288,0.936691852225371,0.9457967934894436,0.9432475419347774,0.0038471133928245074,4,0.9899378913819246,0.9902593294847808,0.9900454106627568,0.9902990074355622,0.990005341814769,0.9901093961559587,0.00014336511236823365
6.96772985458374,0.013323483721918395,0.3670997619628906,0.006138882637229488,sqrt,1,2,80,,sqrt,1,2,80,0.9468401860397968,0.9410444741760527,0.9450803868190063,0.9372189542767373,0.9456010642041917,0.943157013103157,0.00354857375465232,5,0.9897820882865009,0.9901525052927294,0.9898531167332338,0.9902855356658921,0.9899744569010446,0.9900095405758801,0.00018657225233485592
6.845461320877075,0.025538889597485896,0.3748627662658691,0.022708064995782592,log2,1,2,80,,log2,1,2,80,0.9470144899743206,0.9408881867010338,0.9445789207773982,0.9373629616803185,0.9457938352784973,0.9431276788823137,0.0035374873308861403,6,0.9898462955231275,0.990346561074205,0.9898327095222653,0.9903277178005457,0.989912625697184,0.9900531819234656,0.00023349834645031384
4.381080770492554,0.0979506885698086,0.2316307544708252,0.0051977122111254315,sqrt,1,2,50,,sqrt,1,2,50,0.9467593108551424,0.9399163057450524,0.9437038124525938,0.9360976088582978,0.9456842508095396,0.9424322577441252,0.003933789264006091,7,0.9895820047198338,0.9899559348553488,0.989352778547999,0.9899277960454964,0.9897731577194633,0.9897183343776282,0.00022607548133285902
4.338704299926758,0.03795732847113159,0.24167923927307128,0.02130292318394822,log2,1,2,50,,log2,1,2,50,0.9454714662642445,0.9404924829481781,0.944560791918695,0.9364055984052337,0.9450769197364465,0.9424014518545596,0.0034882742795424118,8,0.989451425222729,0.9899790951564168,0.9895493216412439,0.9899602654119515,0.9895981677567134,0.989707655037811,0.0002191813798842006
16.068278074264526,0.07510048020744121,0.8539348125457764,0.13032439341197055,log2,1,2,200,20,log2,1,2,200,0.9467391488796659,0.9402097422259034,0.9442937606494504,0.9360710555786528,0.9446648536781691,0.9423957122023683,0.0038051748779860052,9,0.9850653214905138,0.9857038099530897,0.9849194831528162,0.9856874653321234,0.9850709414380578,0.9852894042733202,0.00033614443719828986
15.59907112121582,0.06627602287494773,0.783530330657959,0.009856049230443285,sqrt,1,2,200,20,sqrt,1,2,200,0.9461116899560953,0.9397069887135332,0.9443674818880925,0.9359790581841486,0.9444318071691566,0.9421194051822053,0.0037379942219192136,10,0.9850595150131953,0.9856118727668824,0.9849403476166756,0.9856306309591927,0.9851552802637358,0.9852795293239364,0.00028726742898589305
7.752350330352783,0.05203573321270832,0.39169607162475584,0.0040397899981913605,sqrt,1,2,100,20,sqrt,1,2,100,0.9460958065840608,0.9396324379082942,0.9435813949425896,0.9360181552045235,0.9441881002196691,0.9419031789718275,0.003616771211109984,11,0.9847871655926314,0.9853589449065071,0.9846237892922323,0.9852829150291904,0.9851273948352769,0.9850360419311677,0.0002847629474816002
8.331757068634033,0.05619982607235921,0.3884896755218506,0.0068785101637822725,log2,1,2,100,20,log2,1,2,100,0.9462440957635826,0.9395380397675438,0.9438120465769726,0.9359454771770123,0.9438877943908018,0.9418854907351827,0.003674576499439107,12,0.9847863955874818,0.9853952179322082,0.9848333414498703,0.9853530058562867,0.9848693783535676,0.9850474678358829,0.00026833125169829254
6.268167400360108,0.037760703656588235,0.31272177696228026,0.0019199219501178436,sqrt,1,2,80,20,sqrt,1,2,80,0.9458302125779386,0.939397782517733,0.9439238198031997,0.9346855671602806,0.9448397774211649,0.9417354318960633,0.0041559217753181785,13,0.9846356840734753,0.9853658733732831,0.9845409572464976,0.9852694812906813,0.9848294869760459,0.9849282965919967,0.00033265526687814464
6.387933540344238,0.14204926860804445,0.31093525886535645,0.006362457855369794,log2,1,2,80,20,log2,1,2,80,0.9463262031518713,0.9394431430080913,0.944004993132923,0.9352975229800398,0.9435316973588217,0.9417207119263494,0.003902635896752379,14,0.9845869736508923,0.9852248854963286,0.9848795578382779,0.985268370887463,0.9848768014906358,0.9849673178727196,0.00025200427161689934
